DATE,BAMLC0A0CMEY,BAMLC0A0CM
2014-08-01,2.95,1.12
2014-09-01,3.16,1.20
2014-10-01,3.09,1.27
2014-11-01,3.06,1.35
2014-12-01,3.21,1.44
2015-01-01,2.91,1.53
2015-02-01,2.98,1.32
2015-03-01,2.94,1.36
2015-04-01,3.01,1.34
2015-05-01,3.09,1.38
2015-06-01,3.34,1.48
2015-07-01,3.34,1.58
2015-08-01,3.48,1.69
2015-09-01,3.43,1.78
2015-10-01,3.42,1.66
2015-11-01,3.50,1.62
2015-12-01,3.68,1.73
2016-01-01,3.62,2.02
2016-02-01,3.55,2.05
2016-03-01,3.21,1.70
2016-04-01,3.07,1.52
2016-05-01,3.14,1.54
2016-06-01,2.9,1.62
2016-07-01,2.77,1.5
2016-08-01,2.79,1.39
2016-09-01,2.84,1.43
2016-10-01,2.97,1.38
2016-11-01,3.4,1.36
2016-12-01,3.39,1.3
2017-01-01,3.38,1.28
2017-02-01,3.28,1.21
2017-03-01,3.35,1.24
2017-04-01,3.27,1.23
2017-05-01,3.18,1.19
2017-06-01,3.22,1.15
2017-07-01,3.14,1.09
2017-08-01,3.09,1.16
2017-09-01,3.18,1.07
2017-10-01,3.18,1.01
2017-11-01,3.30,1.03
2017-12-01,3.27,0.99
2018-01-01,3.48,0.91
2018-02-01,3.73,1.01
2018-03-01,3.80,1.17
2018-04-01,3.96,1.14
2018-05-01,3.93,1.22
2018-06-01,4.07,1.30
2018-07-01,4.04,1.16
2018-08-01,4.00,1.21
2018-09-01,4.12,1.13
2018-10-01,4.33,1.25
2018-11-01,4.42,1.45
2018-12-01,4.25,1.59
2019-01-01,3.99,1.38
2019-02-01,3.98,1.29
2019-03-01,3.68,1.27
2019-04-01,3.65,1.17
2019-05-01,3.49,1.35
2019-06-01,3.22,1.22
2019-07-01,3.20,1.14
2019-08-01,2.86,1.26
2019-09-01,2.96,1.22
2019-10-01,2.89,1.17
2019-11-01,2.93,1.11
2019-12-01,2.90,1.01
2020-01-01,2.64,1.09
2020-02-01,2.46,1.30
2020-03-01,3.68,3.05
2020-04-01,2.78,2.17
2020-05-01,2.49,1.87
2020-06-01,2.22,1.60
2020-07-01,1.92,1.41
2020-08-01,1.99,1.36
2020-09-01,2.05,1.44
2020-10-01,2.08,1.34
2020-11-01,1.85,1.12
2020-12-01,1.79,1.03
2021-01-01,1.90,1.03
2021-02-01,2.11,0.95
2021-03-01,2.30,0.97
2021-04-01,2.20,0.94
2021-05-01,2.14,0.91
2021-06-01,2.05,0.86
2021-07-01,1.95,0.92
2021-08-01,2.00,0.92
2021-09-01,2.14,0.89
2021-10-01,2.23,0.89
2021-11-01,2.29,1.03
2021-12-01,2.35,0.98
2022-01-01,2.78,1.10
2022-02-01,3.11,1.30
2022-03-01,3.59,1.22
2022-04-01,4.27,1.41
2022-05-01,4.23,1.40
